Date,Model,Candidate,Probability
2024-08-20,Decision Desk HQ,Harris,0.53
2024-08-21,Decision Desk HQ,Harris,0.53
2024-08-22,Decision Desk HQ,Harris,0.53
2024-08-23,Decision Desk HQ,Harris,0.54
2024-08-24,Decision Desk HQ,Harris,0.54
2024-08-25,Decision Desk HQ,Harris,0.54
2024-08-26,Decision Desk HQ,Harris,0.55
2024-08-27,Decision Desk HQ,Harris,0.56
2024-08-28,Decision Desk HQ,Harris,0.56
2024-08-29,Decision Desk HQ,Harris,0.57
2024-08-30,Decision Desk HQ,Harris,0.56
2024-08-31,Decision Desk HQ,Harris,0.56
2024-09-01,Decision Desk HQ,Harris,0.56
2024-09-02,Decision Desk HQ,Harris,0.56
2024-09-03,Decision Desk HQ,Harris,0.56
2024-09-04,Decision Desk HQ,Harris,0.56
2024-09-05,Decision Desk HQ,Harris,0.55
2024-09-06,Decision Desk HQ,Harris,0.55
2024-09-07,Decision Desk HQ,Harris,0.55
2024-09-08,Decision Desk HQ,Harris,0.55
2024-09-09,Decision Desk HQ,Harris,0.54
2024-09-10,Decision Desk HQ,Harris,0.55
2024-09-11,Decision Desk HQ,Harris,0.54
2024-09-12,Decision Desk HQ,Harris,0.54
2024-09-13,Decision Desk HQ,Harris,0.54
2024-09-14,Decision Desk HQ,Harris,0.54
2024-09-15,Decision Desk HQ,Harris,0.55
2024-09-16,Decision Desk HQ,Harris,0.55
2024-09-17,Decision Desk HQ,Harris,0.54
2024-09-18,Decision Desk HQ,Harris,0.55
2024-09-19,Decision Desk HQ,Harris,0.55
2024-09-20,Decision Desk HQ,Harris,0.55
2024-09-21,Decision Desk HQ,Harris,0.55
2024-09-22,Decision Desk HQ,Harris,0.55
2024-09-23,Decision Desk HQ,Harris,0.55
2024-09-24,Decision Desk HQ,Harris,0.54
2024-09-25,Decision Desk HQ,Harris,0.55
2024-09-26,Decision Desk HQ,Harris,0.56
2024-09-27,Decision Desk HQ,Harris,0.56
2024-09-28,Decision Desk HQ,Harris,0.56
2024-09-29,Decision Desk HQ,Harris,0.55
2024-09-30,Decision Desk HQ,Harris,0.55
2024-10-01,Decision Desk HQ,Harris,0.55
2024-10-02,Decision Desk HQ,Harris,0.55
2024-10-03,Decision Desk HQ,Harris,0.55
2024-10-04,Decision Desk HQ,Harris,0.54
2024-10-05,Decision Desk HQ,Harris,0.54
2024-10-06,Decision Desk HQ,Harris,0.54
2024-10-07,Decision Desk HQ,Harris,0.53
2024-10-08,Decision Desk HQ,Harris,0.52
2024-08-20,Decision Desk HQ,Trump,0.47
2024-08-21,Decision Desk HQ,Trump,0.47
2024-08-22,Decision Desk HQ,Trump,0.47
2024-08-23,Decision Desk HQ,Trump,0.46
2024-08-24,Decision Desk HQ,Trump,0.46
2024-08-25,Decision Desk HQ,Trump,0.46
2024-08-26,Decision Desk HQ,Trump,0.45
2024-08-27,Decision Desk HQ,Trump,0.44
2024-08-28,Decision Desk HQ,Trump,0.44
2024-08-29,Decision Desk HQ,Trump,0.43
2024-08-30,Decision Desk HQ,Trump,0.44
2024-08-31,Decision Desk HQ,Trump,0.44
2024-09-01,Decision Desk HQ,Trump,0.44
2024-09-02,Decision Desk HQ,Trump,0.44
2024-09-03,Decision Desk HQ,Trump,0.44
2024-09-04,Decision Desk HQ,Trump,0.44
2024-09-05,Decision Desk HQ,Trump,0.45
2024-09-06,Decision Desk HQ,Trump,0.45
2024-09-07,Decision Desk HQ,Trump,0.45
2024-09-08,Decision Desk HQ,Trump,0.45
2024-09-09,Decision Desk HQ,Trump,0.46
2024-09-10,Decision Desk HQ,Trump,0.45
2024-09-11,Decision Desk HQ,Trump,0.46
2024-09-12,Decision Desk HQ,Trump,0.46
2024-09-13,Decision Desk HQ,Trump,0.46
2024-09-14,Decision Desk HQ,Trump,0.46
2024-09-15,Decision Desk HQ,Trump,0.45
2024-09-16,Decision Desk HQ,Trump,0.45
2024-09-17,Decision Desk HQ,Trump,0.45
2024-09-18,Decision Desk HQ,Trump,0.45
2024-09-19,Decision Desk HQ,Trump,0.45
2024-09-20,Decision Desk HQ,Trump,0.45
2024-09-21,Decision Desk HQ,Trump,0.45
2024-09-22,Decision Desk HQ,Trump,0.45
2024-09-23,Decision Desk HQ,Trump,0.45
2024-09-24,Decision Desk HQ,Trump,0.46
2024-09-25,Decision Desk HQ,Trump,0.45
2024-09-26,Decision Desk HQ,Trump,0.44
2024-09-27,Decision Desk HQ,Trump,0.44
2024-09-28,Decision Desk HQ,Trump,0.44
2024-09-29,Decision Desk HQ,Trump,0.45
2024-09-30,Decision Desk HQ,Trump,0.45
2024-10-01,Decision Desk HQ,Trump,0.45
2024-10-02,Decision Desk HQ,Trump,0.45
2024-10-03,Decision Desk HQ,Trump,0.45
2024-10-04,Decision Desk HQ,Trump,0.46
2024-10-05,Decision Desk HQ,Trump,0.46
2024-10-06,Decision Desk HQ,Trump,0.46
2024-10-07,Decision Desk HQ,Trump,0.47
2024-10-08,Decision Desk HQ,Trump,0.48
2024-08-01,TheEconomist,Harris,0.43
2024-08-02,TheEconomist,Harris,0.45
2024-08-03,TheEconomist,Harris,0.45
2024-08-04,TheEconomist,Harris,0.47
2024-08-05,TheEconomist,Harris,0.47
2024-08-06,TheEconomist,Harris,0.47
2024-08-07,TheEconomist,Harris,0.48
2024-08-08,TheEconomist,Harris,0.48
2024-08-09,TheEconomist,Harris,0.48
2024-08-10,TheEconomist,Harris,0.5
2024-08-11,TheEconomist,Harris,0.5
2024-08-12,TheEconomist,Harris,0.52
2024-08-13,TheEconomist,Harris,0.52
